,secID,ticker,exchangeCD,secShortName,tradeDate,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,CHG,CHGPct,turnoverVol,turnoverValue,discount,discountRatio,circulationShares,accumAdjFactor
406,510500.XSHG,510500,XSHG,南方中证500ETF,2015-05-13,8.816,8.67,8.97,8.67,8.897,0.081,0.0092,12892251,114074054.0,-0.0258,-0.002908,732932800.0,0.28034
407,510510.XSHG,510510,XSHG,广发中证500ETF,2015-05-13,2.463,2.42,2.523,2.42,2.486,0.023,0.0093,52264885,129568060.0,-0.001,-0.000402,1129038300.0,1.0
408,510520.XSHG,510520,XSHG,诺安中证500ETF,2015-05-13,2.119,2.119,2.136,2.061,2.136,0.017,0.008,182200,385692.0,0.0346,0.01594,9091000.0,1.0
409,510610.XSHG,510610,XSHG,华夏上证能源ETF,2015-05-13,1.212,1.212,1.215,1.19,1.195,-0.017,-0.014,22804530,27471387.0,0.002,0.001671,75586900.0,1.0
410,510620.XSHG,510620,XSHG,华夏上证原材料ETF,2015-05-13,1.593,1.593,1.623,1.575,1.584,-0.009,-0.0057,28285450,45183623.0,0.0149,0.009319,40466700.0,1.0
411,510630.XSHG,510630,XSHG,华夏上证主要消费ETF,2015-05-13,1.745,1.745,1.785,1.745,1.767,0.022,0.0126,12887200,22790906.0,0.004,0.002259,218090400.0,1.0
412,510650.XSHG,510650,XSHG,华夏上证金融地产ETF,2015-05-13,1.876,1.876,1.886,1.835,1.847,-0.029,-0.0155,51436558,96133523.0,0.0022,0.00119,307452500.0,1.0
413,510660.XSHG,510660,XSHG,华夏上证医药卫生ETF,2015-05-13,1.777,1.776,1.783,1.758,1.775,-0.002,-0.0011,13837200,24520596.0,0.0042,0.002361,238879700.0,1.0
414,510680.XSHG,510680,XSHG,万家上证380ETF,2015-05-13,2.051,2.051,2.083,2.045,2.059,0.008,0.0039,183400,379694.0,0.0719,0.033742,2724700.0,1.0
415,510700.XSHG,510700,XSHG,长盛上证市值百强ETF,2015-05-13,3.595,3.46,3.59,3.46,3.49,-0.105,-0.0292,44101,154459.0,0.08,0.022409,15213700.0,1.0
416,510880.XSHG,510880,XSHG,华泰柏瑞上证红利ETF,2015-05-13,3.412,3.41,3.415,3.375,3.383,-0.029,-0.0085,7037182,23907766.0,0.011,0.003241,300175700.0,1.16252
417,510900.XSHG,510900,XSHG,易方达恒生中国企业ETF(QDII),2015-05-13,1.322,1.322,1.325,1.297,1.297,-0.025,-0.0189,185544532,243056342.0,-0.0057,-0.004414,3851021900.0,1.0
418,511010.XSHG,511010,XSHG,国泰上证5年期国债ETF,2015-05-13,107.18,107.2,107.22,107.079,107.132,-0.048,-0.0004,5475730,586806101.0,0.339,0.003154,3656300.0,1.002794
419,511210.XSHG,511210,XSHG,博时上证企债30ETF,2015-05-13,107.661,107.651,107.69,107.651,107.69,0.029,0.0003,130,13999.0,1.9015,0.017351,1549000.0,1.0
420,511220.XSHG,511220,XSHG,海富通上证可质押城投债ETF,2015-05-13,96.001,95.801,97.5,95.801,96.503,0.502,0.0052,195980,18994561.0,3.315,0.03321,62888100.0,1.016
421,511800.XSHG,511800,XSHG,易方达货币ETF-E,2015-05-13,100.004,100.004,100.006,100.003,100.003,-0.001,0.0,92087208,9209155750.0,-0.003,-3e-05,21507100.0,1.0
422,511810.XSHG,511810,XSHG,南方理财金货币ETF-H,2015-05-13,100.039,100.037,100.037,100.01,100.027,-0.012,-0.0001,18531244,1853650815.0,-0.027,-0.00027,9511600.0,1.0
